master set U[V],master set U[bit],master measured U[bit],slave set U[V],slave set U[bit],slave measured U[bit]
59.700000000000095,1951,3136,59.700000000000095,1951,3146
59.8000000000001,1924,3142,59.8000000000001,1924,3151
59.9000000000001,1897,3147,59.9000000000001,1897,3157
60.0000000000001,1869,3154,60.0000000000001,1869,3163
60.1000000000001,1842,3159,60.1000000000001,1842,3168
60.2000000000001,1815,3165,60.2000000000001,1815,3174
60.300000000000104,1788,3171,60.300000000000104,1788,3179
60.400000000000105,1761,3176,60.400000000000105,1761,3185
60.50000000000011,1734,3182,60.50000000000011,1734,3190
60.60000000000011,1707,3188,60.60000000000011,1707,3197
60.70000000000011,1680,3193,60.70000000000011,1680,3202
60.80000000000011,1653,3198,60.80000000000011,1653,3208
60.90000000000011,1625,3205,60.90000000000011,1625,3214
61.000000000000114,1598,3211,61.000000000000114,1598,3219
61.100000000000115,1571,3216,61.100000000000115,1571,3225
61.20000000000012,1544,3222,61.20000000000012,1544,3231
61.30000000000012,1517,3227,61.30000000000012,1517,3236
61.40000000000012,1490,3233,61.40000000000012,1490,3242
61.50000000000012,1463,3239,61.50000000000012,1463,3247
61.60000000000012,1436,3244,61.60000000000012,1436,3253
61.700000000000124,1408,3250,61.700000000000124,1408,3258
61.800000000000125,1381,3256,61.800000000000125,1381,3265
61.90000000000013,1354,3261,61.90000000000013,1354,3271
62.00000000000013,1327,3267,62.00000000000013,1327,3275
62.10000000000013,1300,3272,62.10000000000013,1300,3282
62.20000000000013,1273,3278,62.20000000000013,1273,3287
62.30000000000013,1246,3284,62.30000000000013,1246,3293
62.400000000000134,1219,3289,62.400000000000134,1219,3298
62.500000000000135,1191,3296,62.500000000000135,1191,3304
62.600000000000136,1164,3301,62.600000000000136,1164,3310
62.70000000000014,1137,3307,62.70000000000014,1137,3315
62.80000000000014,1110,3312,62.80000000000014,1110,3321
62.90000000000014,1083,3318,62.90000000000014,1083,3326
63.00000000000014,1056,3323,63.00000000000014,1056,3332
63.10000000000014,1029,3330,63.10000000000014,1029,3338
63.200000000000145,1002,3335,63.200000000000145,1002,3344
63.300000000000146,975,3341,63.300000000000146,975,3350
63.40000000000015,947,3347,63.40000000000015,947,3355
63.50000000000015,920,3352,63.50000000000015,920,3361
63.60000000000015,893,3358,63.60000000000015,893,3367
63.70000000000015,866,3363,63.70000000000015,866,3372
63.80000000000015,839,3369,63.80000000000015,839,3377
63.900000000000155,812,3375,63.900000000000155,812,3383
64.00000000000016,785,3380,64.00000000000016,785,3388
64.10000000000015,758,3385,64.10000000000015,758,3394
64.20000000000014,730,3391,64.20000000000014,730,3401
64.30000000000014,703,3398,64.30000000000014,703,3406
64.40000000000013,676,3403,64.40000000000013,676,3412
64.50000000000013,649,3409,64.50000000000013,649,3417
64.60000000000012,622,3414,64.60000000000012,622,3423
64.70000000000012,595,3421,64.70000000000012,595,3429
64.80000000000011,568,3425,64.80000000000011,568,3434
64.9000000000001,541,3432,64.9000000000001,541,3440
65.0000000000001,513,3437,65.0000000000001,513,3446
65.1000000000001,486,3442,65.1000000000001,486,3451
65.20000000000009,459,3449,65.20000000000009,459,3457
65.30000000000008,432,3454,65.30000000000008,432,3462
65.40000000000008,405,3460,65.40000000000008,405,3467
65.50000000000007,378,3465,65.50000000000007,378,3474
65.60000000000007,351,3471,65.60000000000007,351,3479
65.70000000000006,324,3476,65.70000000000006,324,3485
65.80000000000005,297,3482,65.80000000000005,297,3491
65.90000000000005,269,3488,65.90000000000005,269,3496
66.00000000000004,242,3494,66.00000000000004,242,3502
66.10000000000004,215,3499,66.10000000000004,215,3508
66.20000000000003,188,3506,66.20000000000003,188,3513
66.30000000000003,161,3511,66.30000000000003,161,3519
66.40000000000002,134,3516,66.40000000000002,134,3524
66.50000000000001,107,3520,66.50000000000001,107,3529
66.60000000000001,80,3521,66.60000000000001,80,3530
66.7,52,3523,66.7,52,3531
66.8,25,3523,66.8,25,3531
66.89999999999999,-1,2706,66.89999999999999,-1,2718
66.99999999999999,-28,2706,66.99999999999999,-28,2718
67.09999999999998,-55,2706,67.09999999999998,-55,2718
67.19999999999997,-82,2706,67.19999999999997,-82,2718
67.29999999999997,-109,2711,67.29999999999997,-109,2722
67.39999999999996,-136,2716,67.39999999999996,-136,2727
67.49999999999996,-163,2722,67.49999999999996,-163,2733
67.59999999999995,-191,2728,67.59999999999995,-191,2739
67.69999999999995,-218,2733,67.69999999999995,-218,2744
67.79999999999994,-245,2739,67.79999999999994,-245,2749
67.89999999999993,-272,2745,67.89999999999993,-272,2755
67.99999999999993,-299,2751,67.99999999999993,-299,2761
